id,title,price,volume,type,alcohol,sweet,sour,body,cool,food,material,company,link,flavour_type
274,우리밀 막걸리 향수,"7,900",700ml,탁주,9,2,3,5,3,"도리뱅뱅이, 도토리묵, 겉절이, 나물","쌀, 밀, 입국, 누룩, 정제수",이원양조장,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20181012193717255_SOQ2P5JTM.jpg%2Ffe87_233_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,1
275,울금생막걸리 정,"1,500",750ml,탁주,6,3,3.5,3,3,,"국내산 쌀, 국내산 울금",영덕주조,https://dbscthumb-phinf.pstatic.net/3002_000_1/20140522152929787_AN6DX9IDB.jpg/619_1_2_d1.jpg?type=m251&wm=Y,3
276,월매 쌀막걸리(캔),"1,200",350ml,탁주,6,2,2,1,3,파전,"백미, 말토올리고당, 정제수",서울장수㈜,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20181012223930615_T25RQAD1K.jpg%2Ffe87_252_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,2
277,유자생막걸리,"1,800",750ml,탁주,5,2,3,1,3,식사(반주하기 좋은 술),"경기미 75%, 유자 국내산20% , 맥아당 5%",배혜정도가,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170524152908845_YH8ILUB46.jpg%2Ffe87_173_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,2
278,율무 동동주,"14,000",750ml,탁주,14,2,4,4,3,온더록스로 한잔,"쌀(국내산), 누룩, 효모, 연천 율무, 정제수",농업회사법인 연천양조㈜,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_3%2F20200824205542822_VHZJ2WXH2.jpg%2Ffe87_520_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,1
279,은자골 곶감 생 탁배기,"1,500",750ml,탁주,6,1,1,1,3,양념을 많이 하지 않은 생선회,"백미, 소맥분, 정제수, 곶감분말, 전분당, 국, 누룩, 효소, 아스파탐 등",은척 양조장,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170116183007288_5OQ57BFPD.jpg%2Ffe87_089_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,2
280,은자골 생 탁배기,"1,500",750ml,탁주,5,1,3,3,3,파전,국내산 쌀,은척양조장,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170116182946252_U21CE6PE9.jpg%2Ffe87_088_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,1
281,이동 생 쌀 막걸리,"1,300",750ml,탁주,6,1,3,2,3,갈비찜,"정제수, 백미, 팽화미, 입국, 아스파탐 등",이동주조,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170116182607367_R1A6R4GR5.jpg%2Ffe87_084_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,1
282,이동 쌀 막걸리,"1,600",1200ml,탁주,6,3,1,3,1,도토리 묵,"정제수, 백미, 팽화미, 입국, 아스파탐",이동주조,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170116182703122_SP1FPJH1H.jpg%2Ffe87_085_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,4
283,이상헌 탁주,"25,000",500ml,탁주,19,2,3,3,3,샐러드,"아산쌀, 국(국내산 밀누룩), 정제수",이가수불,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_2%2F20190726181609891_9HASGK8MD.jpg%2Ffe87_424_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,1
284,이화백주,"12,000",940ml,탁주,6,3,3,3,4,"갈비찜, 해물파전, 보쌈, 족발","정제수, 쌀(국내산), 누룩, 설탕, 물엿, 밀, 아스파탐",이화백주,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20181013023517407_AEIEZYQYW.jpg%2Ffe87_284_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,3
285,이화주,"6,500",100ml,탁주,8,4,1,5,0,,"쌀(국내산 경기미 100%), 누룩, 정제수",술샘,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170112175100522_ZPXECQKAN.jpg%2Ffe87_007_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,4
286,인천 생 소성주,"1,200",750ml,탁주,6,1,2,2,1,생선회,"쌀, 팽화미, 정제수, 국, 효모, 아스파탐, 효소, 이소말토 올리고당",인천탁주,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170224173842228_JAPYM0YLK.jpg%2Ffe87_069_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,2
287,입장탁주,"1,200",750ml,탁주,7,2,2,2,2,버섯 전골류,국내산 쌀,(농) 입장주조㈜,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170522211939648_RSBDLHPP8.jpg%2Ffe87_207_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,2
288,자연담은 복분자막걸리,"56,000",360ml,탁주,6,2,1,1,1,"김부각, 가자미식해","국내산 복분자(고창), 정제수",(농)국순당고창명주㈜,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F5628_000_1%2F20181126171049520_ZXWYBJ24S.jpg%2Ffe115_24_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,2
289,자연담은 복분자막걸리,"56,000",360ml,탁주,6,2,1,1,1,"김부각, 가자미식해","국내산 복분자(고창), 정제수",(농)국순당고창명주㈜,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170522123221840_G4P0YTZ58.jpg%2Ffe87_121_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,2
290,자희향,"16,000",500ml,탁주,12,2,2,3,1,해물찜,"찹쌀(국내산), 멥쌀(국내산), 누룩(국내산), 정제수",자희자양,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170116183118175_U4EJO6174.jpg%2Ffe87_091_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,4
291,자희향 나비,"8,000",500ml,탁주,8,2,1,2,2,피자,"찹쌀(국내산), 멥쌀(국내산), 누룩(국내산), 정제수",자희자양,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170116183201205_8SIW8ALJ3.jpg%2Ffe87_092_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,2
292,장수 생막걸리,"1,200",750ml,탁주,6,2,3,3,3,,"백미(국내산), 말토올리고당, 홍삼분말",서울장수주식회사,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170522183540299_ORVQ19GN2.jpg%2Ffe87_182_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,1
293,장홍삼 장수 막걸리,"2,000",750ml,탁주,6,1,4,1,3,삼겹살,"백미,말토올리고당,홍삼분말",서울장수(주),https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170522182741719_2I4CNBTWW.jpg%2Ffe87_181_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,1
294,정고집 나주쌀 생막걸리,"1,200",750ml,탁주,6,3,3,3,3,홍어삼합,"쌀, 쌀가루(국내산), 조제종국, 정제효소, 젖산, 아스파탐, 아세셀팜칼",남도탁주,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_2%2F20190726165132572_E44A7UG5Z.jpg%2Ffe87_393_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,3
295,정고집 옛날 생동동주,"2,500",750ml,탁주,6,3,3,3,4,"두부김치, 부침개, 감자전","쌀, 쌀가루(국내산), 조제종국, 정제효소, 젖산, 아스파탐, 아세셀팜칼",남도탁주,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_2%2F20190726164755981_C1PR20GOK.jpg%2Ffe87_392_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,3
296,주산지 막걸리,"1,200",750ml,탁주,6,2,1,2,2,양념된 고기류,"쌀(국내산), 밀가루, 누룩, 입국, 효모, 고과당, 물엿, 아스파탐, 삭카린나트륨, 정제수",청송양조장,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_3%2F20200824203948947_PV31M5Z6C.jpg%2Ffe87_513_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,2
297,죽향 생 막걸리,"2,000",750ml,탁주,6,1,2,1,4,죽순무침,"쌀(국내산), 정제효소, 젖산, 효모, 아스파탐, 정제수",농업회사법인 (주)죽향도가,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_2%2F20200824165800449_IGNMW1L7V.jpg%2Ffe87_433_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,2
298,줄포 생막걸리,"1,200",750ml,탁주,6,2,2,2,3,전류,국내산 쌀,내변산(동진주조),https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170522152607037_ZF2APIT1L.jpg%2Ffe87_151_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,2
299,지란지교,"15,000",500ml,탁주,17,4,4,4,1,"육전, 떡볶이","찹쌀,멥쌀,전통누룩(밀),정제수",(유)친구들의 술 지란지교,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_3%2F20220323120131475_N8WXBRGKH.png%2Ffe87_543_i1.png%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,4
300,지란지교 무화과 탁주,"30,000",500ml,탁주,12,4,4,4,1,"갈치조림, 고등어무조림, 무화과타르트","찹쌀, 멥쌀(국내산), 전통누룩(국내산 밀), 정제수, 무화과청, 레드비트분말, 밀함유",(유)친구들의 술 지란지교,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_3%2F20220323120017200_AM87U91ML.jpg%2Ffe87_542_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,4
301,지리산 정담 생쌀 막걸리,"1,500",750ml,탁주,6,1,3,1,2,과일 샐러드,"쌀(국내산), 종국, 정제수, 누룩, 효모",운봉주조,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170522232536195_HS5IGCOE5.jpg%2Ffe87_227_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,4
302,지리산 허브잎술 쌀 막걸리,"1,500",750ml,탁주,6,1,2,1,2,닭갈비,"쌀(국내산), 입국, 정제수, 효모, 곡자, 국내산허브(로즈마리, 라벤다잎줄기추출액, 울금) 등",운봉주조,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170522231700411_H62JNCCWB.JPG%2Ffe87_226_i1.JPG%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,2
303,지장수 호박 생 막걸리,"1,400",750ml,탁주,6,3,1,2,2,메밀전,"정제수(지장수), 쌀, 효모, 누룩, 과당 등",낙천,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170113201110001_EGGIZFESP.jpg%2Ffe87_063_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,2
304,지장수 호박막걸리,"5,000",550ml,탁주,6,2,1,2,1,"겉절이 김치, 수육","국내산 쌀, 호박",낙천,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170113201049810_QGCQRV1Y5.jpg%2Ffe87_062_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,2
305,지평 생 쌀막걸리,"1,650",1700ml,탁주,5,4,1,2,4,"야채, 된장, 고추장","쌀(국내산), 정제수, 국, 효모, 정제효소 등",지평주조,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170113201406603_35UQENT6W.jpg%2Ffe87_067_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,2
306,지평 생 옛막걸리,"2,500",1700ml,탁주,5,4,1,2,2,파김치,"밀, 정제수, 국, 분말종국, 효모, 정제효소 등",지평주조,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170113200526686_G12PA5BMM.jpg%2Ffe87_053_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,3
307,찰막걸리,"30,000",750ml,탁주,5.5,2,2,2,3,매운 음식,"정제수, 쌀, 밀가루, 찹쌀, 입국, 효모 정제효소제, 아스파탐",(주)1932 포천일동막걸리,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170529155741770_M6PU99E38.jpg%2Ffe87_113_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,2
308,참동이 허브잎술,"1,500",900ml,탁주,6,3,3,3.5,3,,"국내산 쌀, 로즈마리 허브",운봉주조,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170522231700411_H62JNCCWB.JPG%2Ffe87_226_i1.JPG%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,2
309,창원 생탁주,"1,000",750ml,탁주,6,3,3,3,3,"코다리찜, 가오리찜","쌀(국내산), 누룩, 효소, 아스파탐, 정제수",우포의 아침,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_2%2F20200824192359016_T8GIKLAQK.jpg%2Ffe87_487_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,3
310,천마이야기 막걸리,"1,500",750ml,탁주,6,2,2,1,2,육회 안주,국내산 쌀,농업회사법인산들벗(주),https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170522180831827_M89J117X1.jpg%2Ffe87_178_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,3
311,천지주가 생 막걸리,"1,400",750ml,탁주,6,3,2,1,2,피순대,"쌀, 정제수, 국, 효모",(유)산에들에 농업회사법인,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170112175316094_001ZR3Q3L.jpg%2Ffe87_017_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,2
312,청산녹수 꿀막걸리,"18,000",750ml,탁주,8,1,2,4,3,양념갈비,"쌀(국내산), 벌꿀(국내산), 사과농축액, 효모, 정제효소",청산녹수,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20181012195304406_557UQXFK6.jpg%2Ffe87_235_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,2
313,톡쏘는 쌀 막걸리,"1,500",750ml,탁주,6,3,3.5,3,3.5,,국내산 쌀,우리술,https://dbscthumb-phinf.pstatic.net/3002_000_1/20170228142708465_X1AGR7E0A.jpg/445_d1.jpg?type=m251&wm=Y,1
314,편백숲 산소막걸리,"1,900",750ml,탁주,5.2,3,3,3,3,"기름진 전, 고기류","쌀, 사과농축액,누룩,올리고당,아스파탐",청산녹수,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_2%2F20200824183632844_UFBUG4804.jpg%2Ffe87_469_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,3
315,편백숲 산소막걸리 딸기 스파클링,"41,000",940ml,탁주,6.8,3,2,3,5,기름진 음식(수육),"찹쌀, 멥쌀, 누룩, 딸기, 올리고당",청산녹수,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_2%2F20200824184100126_OGM9OVFZZ.jpg%2Ffe87_471_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,3
316,편백숲 산소막걸리 순수령,"4,000",750ml,탁주,5.8,3,1,4,1,"호두, 땅콩","찹쌀, 맵쌀, 누룩",청산녹수,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_2%2F20200824183832249_4USUPPKG0.jpg%2Ffe87_470_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,3
317,풍정사계 추(秋),"15,000",500ml,탁주,12,1,2,2,1,홍어삼합,풍정사계 추(秋),화양,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170522223833669_0EUEEC4P8.JPG%2Ffe87_218_i1.JPG%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,4
318,하얀연꽃 백련막걸리 Snow,"1,600",375ml,탁주,6,2,2,2,4,숯불 바베큐,국내산 쌀,신평양조장,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170116182406377_QSCXEQ60W.jpg%2Ffe87_081_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,2
319,하얀연꽃 백련생막걸리 Misty,"3,000",375ml,탁주,7,2,3,2,4,양념한 생선찜,"국내산 백미, 국내산 백련잎",신평양조장,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170116182513588_JWOEOYNXK.jpg%2Ffe87_083_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,3
320,해창 생 막걸리 12도,"10,000",900ml,탁주,12,1,1,4,2,꼬막 무침,"햅쌀, 찹쌀, 물, 누룩",해창주조장,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170112175236683_D4HK4M5EE.jpg%2Ffe87_014_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,3
321,해창 생막걸리 6도,"3,000",900ml,탁주,6,1,1,2,3,간재미 찜,"햅쌀, 찹쌀, 물, 누룩",해창주조장,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170112175303692_Y55GB5JHV.jpg%2Ffe87_016_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,4
322,해창 생막걸리 9도,"6,000",900ml,탁주,9,1,1,2,2,전복구이,"햅쌀, 찹쌀, 물, 누룩",해창주조장,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170112175250284_1UMVHIBO1.jpg%2Ffe87_015_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,2
323,행운 생유자 동동주,"1,100",750ml,탁주,6,2,3,3,3,멸치양념무침,"쌀(국내산), 소맥분(미국산), 전분당, 정제수, 유자과즙, 치자, 정제효소, 종국, 효모, 젖산, 아스파탐",성포양조장,https://dbscthumb-phinf.pstatic.net/3002_000_1/20140522151325334_ZEOJC5EBO.jpg/302_d1.jpg?type=m251&wm=Y,2
324,호담 산양산삼 막걸리,"16,000",750ml,탁주,6,1,3,1,3,김치전,"쌀(경기미), 입국, 산양산삼, 정제수, 아스파탐",대농바이오우리산삼,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20181012223024906_4EPTO4SM6.jpg%2Ffe87_251_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,1
325,호랑이 생 막걸리,"2,200",750ml,탁주,6,4,1,4,2,중국음식,"물, 쌀(국내산),에리스리톨, 효모, 국, 젖산, 합성향료,밀함유",배혜정도가,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170112175223742_GRU2WCA91.jpg%2Ffe87_013_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,1
326,홍천강 탁주,"10,000",500ml,탁주,11,2,3,2,2,양념갈비,"홍천 쌀, 정제수, 국(밀 누룩)",예술주조,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170113201222630_MFBHZDN9S.jpg%2Ffe87_065_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,4
327,희양산 막걸리 9도,"8,000",750ml,탁주,9,2,3,3,2,고기류,"정제수, 쌀(국내산), 누룩(국내산), 효모",두술도가,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_3%2F20200824203515974_0GPDFOZ9C.jpg%2Ffe87_511_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,1
328,G12 골디락스,"12,000",500ml,탁주,12,2,2,3,2,"닭백숙, 오리백숙, 편육, 새우젓, 겉절이","정제수, 멥쌀(국내산), 찹쌀(국내산), 누룩, 종국, 효모, 밀함유",청산녹수,https://dbscthumb-phinf.pstatic.net/4776_000_3/20220323113635016_X2OFH4FIJ.jpg/fe87_531_i1.jpg?type=m251&wm=Y,1
